"country","fsystem","crop","total","area5.5_ha","area6.0_ha","area6.5_ha","area14_ha","diff"
"Angola","1. Maize mixed","MAIZ",502694.300170943,78127.2001406178,331711.600311145,19391.1000481769,5055.39997720718,68408.999693796
"Angola","1. Maize mixed","SORG",74584.9998076409,16418.6000421941,31064.6998238862,8013.79992588609,80.8999998569489,19007.0000158176
"Angola","1. Maize mixed","BEAN",263950.600356765,36555.2001268715,187948.800188281,7775.09998760372,2591.50001478195,29080.0000392273
"Angola","1. Maize mixed","CHIC",4126,1316,2540,200,70,0
"Angola","1. Maize mixed","LENT",4126,1316,2540,200,70,0
"Angola","1. Maize mixed","WHEA",4901.79999885708,1564.29999992251,2882.79999919981,197.49999961257,70,187.20000012219
"Angola","1. Maize mixed","BARL",4124.20000000298,1315.10000000149,2539.10000000149,200,70,0
"Angola","1. Maize mixed","ACOF",4124.09999991208,1313.09999995679,2539.89999997616,200,70,1.09999997913837
"Angola","1. Maize mixed","RCOF",15646.6999991313,2661.49999248981,9928.29998385906,615.300004959106,70,2371.60001782328
"Angola","1. Maize mixed","RICE",17177.1000117734,4435.20000367612,9702.50000356883,408.199999637902,70,2561.20000489056
"Angola","1. Maize mixed","PMIL",74245.000085339,12910.3000206351,35419.0000243485,6544.29997944832,70,19301.400060907
"Angola","1. Maize mixed","SMIL",4977.30002132803,1316,3358.6000213623,229.399999916553,70,3.30000004917383
"Angola","1. Maize mixed","POTA",37571.5000317991,9359.70002538711,23185.8999944627,703.399994261563,76.1999999061227,4246.30001778156
"Angola","1. Maize mixed","SWPO",63272.0000004545,11761.2000019103,31363.4000349417,3565.90000265837,2549.49998474121,14031.9999762028
"Angola","1. Maize mixed","CASS",336100.800147153,48528.3999680206,208696.40022929,12192.6000214443,10184.3000106812,56499.0999177173
"Angola","1. Maize mixed","COWP",4144.39999987185,1325.10000005364,2544.59999990463,200,70,4.69999991357327
"Angola","1. Maize mixed","PIGE",4126,1316,2540,200,70,0
"Angola","1. Maize mixed","SOYB",6517.70000100136,1777.09999780357,4006.19999804348,162.700001642108,70,501.700003512204
"Angola","1. Maize mixed","GROU",105643.600158177,19002.1000737697,57153.9000661895,4347.49998287112,4268.10000038147,20872.0000349656
"Angola","1. Maize mixed","SUGC",7293.40000005066,1313.40000004321,4588.59997558594,200,70,1121.40002442151
"Angola","1. Maize mixed","COTT",4712.70000077039,1335.79999984056,2599.69999961555,270.700000286102,152.700000524521,353.800000503659
"Angola","1. Maize mixed","COCO",4880.10000482202,1352.3000004068,2819.6000052467,340.499997019768,98.800000667572,268.900001481175
"Angola","1. Maize mixed","TEAS",4126,1316,2540,200,70,0
"Angola","1. Maize mixed","TOBA",3965.10000474751,1001.80000193417,2371.09999876469,196.800000138581,128.000001072884,267.400002837181
"Angola","1. Maize mixed","BANA",21697.5999928117,3960.00001912564,7937.99996969849,1458.19998855144,2787.19999885559,5554.20001658052
"Angola","1. Maize mixed","PLNT",4141.89999961853,1316.89999997616,2540,200,70,14.9999996423721
"Angola","2. Agro-pastoral","MAIZ",927648.700113647,1076.99999380112,406195.700118221,210225.900644653,256384.399396092,53765.69996088
