"","country","province","crop","crop_area_ha","crop_price_us_per_t","lime_price_us_per_t","returns_us","returns_us_resid","lime_t","costs_us","roi","roi_resid","diff_us","diff_us_resid"
"1","ETH","Addis Abeba","MAIZ",1276.2,549,100,0,0,0,0,NA,NA,0,0
"2","ETH","Afar","MAIZ",7579.1,549,100,0,0,0,0,NA,NA,0,0
"3","ETH","Amhara","MAIZ",441128.7,549,100,1058201.2,1851852.1,35112.6,3511261.4,0.3,0.53,584073.9,1118536.8
"4","ETH","Benshangul-Gumaz","MAIZ",66795.5,549,100,628551.7,1099965.4,12323.9,1232394.3,0.51,0.89,361474,681888.6
"5","ETH","Dire Dawa","MAIZ",714.6,549,100,0,0,0,0,NA,NA,0,0
"6","ETH","Gambela Peoples","MAIZ",6510.8,549,100,2501.5,4377.6,24.1,2412.9,1.04,1.81,926.6,2107.4
"7","ETH","Harari People","MAIZ",2821.3,549,100,0,0,0,0,NA,NA,0,0
"8","ETH","Oromia","MAIZ",1130596.5,549,100,8290252.3,14507941.5,1304925.5,130492545.4,0.06,0.11,1183626.1,2505261
"9","ETH","Somali","MAIZ",34485.4,549,100,0,0,0,0,NA,NA,0,0
"10","ETH","Southern Nations, Nationalities and Peoples","MAIZ",320217.8,549,100,562538,984441.5,53099.8,5309982.2,0.11,0.19,80475.9,193527
"11","ETH","Tigray","MAIZ",72620.2,549,100,0,0,0,0,NA,NA,0,0
"12","KEN","Baringo","MAIZ",52988.6,558.1,100,48309.4,84541.5,1788.5,178849.9,0.27,0.47,35384.1,69448
"13","KEN","Bomet","MAIZ",75392.5,558.1,100,881585.8,1542775.1,109284.3,10928430.6,0.08,0.14,200092,351970.3
"14","KEN","Bungoma","MAIZ",131631.7,558.1,100,521932.6,913382,146684.7,14668471.7,0.04,0.06,0,0
"15","KEN","Busia","MAIZ",63413.5,558.1,100,681846.2,1193230.9,80916.3,8091628.3,0.08,0.15,4892.1,15001.1
"16","KEN","Elgeyo-Marakwet","MAIZ",71115.4,558.1,100,232246.6,406431.5,34003.5,3400353.5,0.07,0.12,53747.3,95333.8
"17","KEN","Embu","MAIZ",79253.5,558.1,100,308853.3,540493.3,9847.3,984730.7,0.31,0.55,10688.2,72977.3
"18","KEN","Garissa","MAIZ",6015.2,558.1,100,0,0,0,0,NA,NA,0,0
"19","KEN","Homa Bay","MAIZ",84439.3,558.1,100,709510.6,1241643.5,130315.2,13031516.9,0.05,0.1,0,0
"20","KEN","Isiolo","MAIZ",11738,558.1,100,0,0,0,0,NA,NA,0,0
"21","KEN","Kajiado","MAIZ",57262.1,558.1,100,508.4,889.6,923,92300.8,0.01,0.01,0,0
"22","KEN","Kakamega","MAIZ",106378.3,558.1,100,1866663.2,3266660.6,333192.2,33319220.1,0.06,0.1,0,0
"23","KEN","Kericho","MAIZ",69709.7,558.1,100,847083.6,1482396.3,43784,4378400.5,0.19,0.34,218714.7,417239.8
"24","KEN","Kiambu","MAIZ",59189.9,558.1,100,490853.5,858993.7,6623.6,662360.2,0.74,1.3,111408.2,414584.9
"25","KEN","Kilifi","MAIZ",48770.6,558.1,100,0,0,0,0,NA,NA,0,0
"26","KEN","Kirinyaga","MAIZ",40298.8,558.1,100,537495,940616.3,5512.1,551213.5,0.98,1.71,243284.7,550402.4
"27","KEN","Kisii","MAIZ",88070.9,558.1,100,4294204.6,7514858,196343.3,19634330.5,0.22,0.38,38198.3,531037.4
"28","KEN","Kisumu","MAIZ",36241.7,558.1,100,39643.9,69376.8,23560.5,2356054.1,0.02,0.03,0,0
